"Path"	"Type"	"Extent"	"OffsetHex"	"Size"
"3EYE\3KMM3PCT.CCS"	"file"	"4356"	"0x882000"	"12665"
"3EYE\3KMV3EYE.CCS"	"file"	"4363"	"0x885800"	"37755"
"3EYE\3KMV3PCT.CCS"	"file"	"4382"	"0x88F000"	"14804"
"3EYE\3KNK3EYE.CCS"	"file"	"4390"	"0x893000"	"165576"
"3EYE\3KNK3PCT.CCS"	"file"	"4471"	"0x8BB800"	"20246"
"3EYE\3KNW3EYE.CCS"	"file"	"4481"	"0x8C0800"	"136984"
"3EYE\3KNW3PCT.CCS"	"file"	"4548"	"0x8E2000"	"19236"
"3EYE\3KRW3EYE.CCS"	"file"	"4558"	"0x8E7000"	"50080"
"3EYE\3KRW3PCT.CCS"	"file"	"4583"	"0x8F3800"	"12963"
"3EYE\3KSM3EYE.CCS"	"file"	"4590"	"0x8F7000"	"44591"
"3EYE\3KSM3PCT.CCS"	"file"	"4612"	"0x902000"	"8335"
"3EYE\3KSW3EYE.CCS"	"file"	"4617"	"0x904800"	"23529"
"3EYE\3KSW3PCT.CCS"	"file"	"4629"	"0x90A800"	"15703"
"3EYE\3NEJ3EYE.CCS"	"file"	"4637"	"0x90E800"	"47378"
"3EYE\3NEJ3PCT.CCS"	"file"	"4661"	"0x91A800"	"13587"
"3EYE\3NEW3EYE.CCS"	"file"	"4668"	"0x91E000"	"64455"
"3EYE\3NEW3PCT.CCS"	"file"	"4700"	"0x92E000"	"15723"
"3EYE\3NRT3EYE.CCS"	"file"	"4708"	"0x932000"	"24103"
"3EYE\3NRT3PCT.CCS"	"file"	"4720"	"0x938000"	"17872"
"3EYE\3NRV3EYE.CCS"	"file"	"4729"	"0x93C800"	"121777"
"3EYE\3NRV3PCT.CCS"	"file"	"4789"	"0x95A800"	"28627"
"3EYE\3NRW3EYE.CCS"	"file"	"4803"	"0x961800"	"55699"
"3EYE\3NRW3PCT.CCS"	"file"	"4831"	"0x96F800"	"14795"
"3EYE\3NWV3EYE.CCS"	"file"	"4839"	"0x973800"	"49263"
"3EYE\3NWV3PCT.CCS"	"file"	"4864"	"0x980000"	"33678"
"3EYE\3ORW3EYE.CCS"	"file"	"4881"	"0x988800"	"43955"
"3EYE\3ORW3PCT.CCS"	"file"	"4903"	"0x993800"	"15694"
"3EYE\3ROC3EYE.CCS"	"file"	"4911"	"0x997800"	"30355"
"3EYE\3ROC3PCT.CCS"	"file"	"4926"	"0x99F000"	"12096"
"3EYE\3ROV3EYE.CCS"	"file"	"4932"	"0x9A2000"	"72086"
"3EYE\3ROV3PCT.CCS"	"file"	"4968"	"0x9B4000"	"11821"
"3EYE\3ROW3EYE.CCS"	"file"	"4974"	"0x9B7000"	"29596"
"3EYE\3ROW3PCT.CCS"	"file"	"4989"	"0x9BE800"	"13360"
"3EYE\3SAI3EYE.CCS"	"file"	"4996"	"0x9C2000"	"46657"
