target_id	root_id	role	path	expected_size	expected_sha256
data_gf4_bin	na2	destination	DATA/GF4.BIN	906678	472E297E6B7B158232CD0BCD87941079D51885D65AEF5CFE7052CBE8D88FC4F5
data_gf4c_bin	na2	destination	DATA/GF4C.BIN	104	5A811B40E328F236A739A8F51CCDC61B52FD409420712F2D2BC02E087ACBC3BE
slps_258_37	na2	destination	SLPS_258.37	5273256	20C0A40D70EA412CD431993A2E189B37ECB6054D63AE93BE545470016E1627AF
nun5_gf4_bin	nun5	source	DATA/GF4.BIN	32612	129BAFD7F0FF5896F20F48B0AB603EA4362774CED017F7EB327D96D7B0EFC847
nun5_gf4c_bin	nun5	source	DATA/GF4C.BIN	104	C6C889B795BB6137120252FAE887B48CB4304A0854A761F5942B50818D9D2FBD
